Loans,Loan requests,tick,Banks,Total central bank loans,Total cash & reserve,Total client loans,Total current accounts,Total interbank loans,Total securities,Total term deposits
283,9983,186,324,1018239.97164481,799049.983309015,2957078.52463288,2217860.45186285,523758.12931202,3485949.90021641,2121678.80620766
200,344,187,323,935936.443980644,967473.566890676,3200460.93029712,2465221.69889554,328398.131614371,3482378.02784935,2364706.37462977
237,564,188,319,865931.141648092,808380.421960632,2990694.74319687,2270292.55115258,418643.126494504,3444994.70112063,2229117.88783213
254,18489,189,317,923521.703221646,772717.591470745,2747606.22504075,2040229.1893181,429183.562129645,3420107.048505,2099244.42834186
276,617,190,314,917991.408710028,819969.198273073,2785336.26700169,2079278.91344537,444247.083085803,3400234.61689998,2130240.21879323
245,713,191,313,855029.72957914,835849.745695998,3077312.25678679,2378856.04169945,454688.81334516,3388565.72427178,2190522.7499922
197,27188,192,312,1017105.16352057,810337.589907519,2954638.65990874,2278939.51802796,373448.015668652,3377489.46461996,1971238.14214672
267,524,193,309,996918.507597592,929955.207810648,2930022.46596846,2264451.39371673,410552.432102277,3355278.3464795,2077622.73442823
266,710,194,309,957064.995073691,768928.207621143,2889997.59899034,2222689.09263428,424442.54819763,3362928.79757125,1965550.46649872
284,25466,195,309,1021167.89289175,1079025.34300986,3549307.03688096,2897090.8577267,510984.745586845,3391586.96104523,2225876.56460256
224,733,196,309,935019.441342213,754316.281592377,3071665.35211933,2415037.05292882,392359.840128151,3395458.91915342,1993511.56286023
209,10428,197,308,941818.644946496,899961.00626512,2968901.06101146,2324759.3171987,434047.554663885,3389973.01487713,2113394.04139825
264,927,198,307,910123.203399799,733750.892934966,2818882.92987457,2179226.08883977,404489.910384981,3377509.07905792,1964377.23524543
237,24631,199,307,952881.530783556,932106.452808285,3170521.56981836,2531923.71705499,470586.159424498,3379657.31968837,2140253.72721287
243,2088,200,305,933973.584400104,786419.449882898,3041007.9895967,2362236.48783513,436721.274577877,3356663.88311787,2011109.11140319
279,11220,201,305,952103.503811651,851257.845572583,2915680.68148454,2235397.38028823,469871.39567723,3356899.94889539,2058593.68715977
280,21012,202,304,923598.601170493,893214.471901012,3265024.53728928,2611011.09102334,416249.694887451,3352230.20156909,2101674.93941059
251,1158,203,303,860001.443597564,722275.519462508,2795007.43478568,2142088.42423917,402563.333492512,3349056.48807215,1987287.02829671
297,1058,204,302,850068.308266773,691757.216506342,2659688.82469556,2013734.3134914,524889.610886589,3335414.03034082,1950008.75950149
217,27035,205,302,979966.733890518,782505.83388578,2992301.61729096,2362231.53736598,413679.390008046,3335704.8688316,1898021.84663644
212,20618,206,301,1023453.1059454,788096.909029515,2712880.61211047,2084459.37801612,401277.923469406,3329044.84727953,1849962.06508391
255,683,207,301,1012795.66581445,904912.789646488,2842535.97855664,2213960.46741844,393480.728540488,3331274.29478458,1979664.83333687
259,566,208,300,995769.294844802,832857.515709036,2767295.77474493,2146014.24429124,394763.136065748,3318039.34423346,1903712.9056758
223,439,209,300,958725.738126507,904852.72757194,2941632.93555487,2318636.36190708,409475.710011821,3330337.32514445,2025145.17527036
228,507,210,300,902488.442626537,831095.635709224,2965313.54979462,2340714.372288,436429.868604823,3330544.14604149,2008735.88436661
224,32508,211,300,1005805.84991012,731369.9882604,2716304.05132023,2094041.65920238,413133.605108059,3330590.86081805,1803415.49130255
179,36671,212,298,1174810.7092303,1040292.50238423,2933085.03089982,2401361.30177408,383922.437649393,3313519.58972456,1841730.21232686
210,681,213,298,1052511.2822064,879778.552499783,2923292.46011711,2390772.19519914,415800.552629262,3322642.49700295,1813727.09272908
224,5927,214,298,1001249.45070578,1143397.16477986,3561411.95546669,3029734.64406692,489322.85614085,3337445.71526006,2142676.83742028
202,542,215,296,812565.242651879,655689.576163647,2784437.83316509,2255871.91910468,403641.654855758,3318688.34487137,1823637.42890011
211,326,216,295,802347.726176373,975488.097974862,2885674.42127727,2332852.35144682,405432.91630943,3307595.58935155,2164509.80954934
206,20616,217,294,839033.793866272,651795.412742988,2930158.17559162,2381260.19898337,459510.667610305,3299866.10443437,1794769.99832111
223,21422,218,293,984136.702029606,851321.09102325,3011355.19167435,2466146.91009088,475069.87018463,3294403.98216194,1840617.89606504
248,13344,219,290,963258.516723614,804527.580742361,2758157.53371805,2228015.10203628,437193.623566369,3265091.21935079,1769532.33924366
210,24674,220,289,1060963.04136995,1021309.21066377,3201442.60598475,2772525.83048065,414605.679599938,3261673.43004824,1790059.0181272
249,862,221,286,907527.692406015,827871.011220063,2919448.64343949,2508311.06436924,398635.292918552,3245587.05851251,1714869.64647697
